rank,video_id,title,view_count,duration_sec,estimated_speakers,guests,url
1,4idQbwsvtUo,Israel-Hamas War: Piers Morgan vs Bassem Youssef On Palestine's Treatment | The Full Interview,23000000,1996,3,"Bassem Youssef, Jeremy Boreing",https://www.youtube.com/watch?v=4idQbwsvtUo
11,LhlXDI1JSKk,"""I Can Identify As A Black Lesbian!"" Piers Morgan On Gender Identity",8100000,808,4,"Tomi Lahren, Angelica Malin, Esther Krakue",https://www.youtube.com/watch?v=LhlXDI1JSKk
27,2WmV7kaxz6I,“He's a MAFIA Boss!” Diddy Latest Feat DJ Vlad | 'Household Names Will Be Revealed',4400000,1762,4,"Jaguar Wright, DJ Vlad, Ariel Mitchell-Kidd",https://www.youtube.com/watch?v=2WmV7kaxz6I
28,FrnuOwndcpE,"""It's Embarrassing!"" Piers Morgan Reacts To Transgender Marathon Runner",4400000,819,4,"Mara Yamauchi, Paula Rhone-Adrien, Zuby",https://www.youtube.com/watch?v=FrnuOwndcpE
29,Xlrmfaw_BCI,Piers Morgan Eats STEAK In Front Of Vegan Protester,4400000,683,3,"Nathan McGovern, Aldo Zilli",https://www.youtube.com/watch?v=Xlrmfaw_BCI
35,-rQBVbmwSbI,"""It's An Awful Feeling"" - Titanic Reporter Breaks Down Talking About Missing Submersible",4100000,699,4,"Jannicke Mikkelsen, David Marquet, Dr. Michael Guillen",https://www.youtube.com/watch?v=-rQBVbmwSbI
36,-qVKPyQ8lnc,"""They Are Stealing My Culture!"" Bassem Youssef On Netflix's 'Cleopatra' Casting",4100000,564,3,"Bassem Youssef, Ernest Owens",https://www.youtube.com/watch?v=-qVKPyQ8lnc
40,DHs7p6o5oBo,The 'Female Andrew Tate' Pearl Davis On Why She Thinks Women Shouldn't Vote,3800000,590,3,"Pearl Davis, Ava Santina",https://www.youtube.com/watch?v=DHs7p6o5oBo
42,cQobf1ePWAA,“NO ONE CARES!” America TURNS On Anti-Trump Celebrities! Feat Nerdrotic & Critical Drinker,3700000,2896,3,"Nerdrotic, Critical Drinker",https://www.youtube.com/watch?v=cQobf1ePWAA
44,aD_N9MFn_hc,"Ronaldo: Man Utd Bosses ""Didn't Believe"" My Daughter Was Sick",3700000,1339,3,"Graeme Souness, Henry Winter",https://www.youtube.com/watch?v=aD_N9MFn_hc
48,josrxVtGE40,"Piers Morgan Reacts To Sam Smith's ""Disgusting and Vulgar"" Tour",3600000,650,3,"Douglas Murray, James Barr",https://www.youtube.com/watch?v=josrxVtGE40
50,zoHyLyGfKoU,"""Complete And Utter LUNATIC!"" Trans Athletes Debate Turns UGLY",3400000,2199,5,"James Barr, Esther Krakue, Tomi Lahren, Francesca Fiorentini",https://www.youtube.com/watch?v=zoHyLyGfKoU
53,cc183v_oH0k,"""I'm Tired Of Women WHINING!"" The 'Female Andrew Tate' Pearl Davis On Equal Pay in Sports",3300000,793,3,"Pearl Davis, Grace Blakeley",https://www.youtube.com/watch?v=cc183v_oH0k
60,xDTrsysXWt8,"""I Don’t Need Your Pity!"" Rahma Zein vs Mosab Hassan Yousef",3100000,2362,3,"Rahma Zein, Mosab Hassan Yousef",https://www.youtube.com/watch?v=xDTrsysXWt8
61,DDbMY7oM18A,Woman DESTROYS Eco-Protesters After They Made Her Miss Mum's Funeral,3100000,1242,4,"Eben Lazarus, Hannah Hunt, Amanda Bishop",https://www.youtube.com/watch?v=DDbMY7oM18A
63,tlIg09t0Ui4,"Israel-Hamas War: ""I Refuse To Talk To Genocide Deniers!"" Piers Morgan Debates Palestine With Panel",3000000,884,3,"Nerdeen Kiswani, Emily Austin",https://www.youtube.com/watch?v=tlIg09t0Ui4
65,XoulC-h4yB4,"""Where's My STRAIGHT Flag?!"" Piers Morgan Debates Pride Flags With James Barr",3000000,339,3,"James Barr, Tomi Lahren",https://www.youtube.com/watch?v=XoulC-h4yB4
