rank,video_id,title,view_count,duration,url
1,4idQbwsvtUo,Israel-Hamas War: Piers Morgan vs Bassem Youssef On Palestine's Treatment | The Full Interview,23000000,1996,https://www.youtube.com/watch?v=4idQbwsvtUo
2,VGWGcESPltM,Andrew Tate vs Piers Morgan | The Full Interview,16000000,4490,https://www.youtube.com/watch?v=VGWGcESPltM
3,mK-isQXd_Qw,“Richard Gadd is PSYCHOTIC” Baby Reindeer’s ‘Real’ Martha Fiona Harvey,15000000,3284,https://www.youtube.com/watch?v=mK-isQXd_Qw
4,2oWbDCql4JA,PART 1: Piers Morgan vs Andrew Tate In Romania | Latest Interview,13000000,4524,https://www.youtube.com/watch?v=2oWbDCql4JA
5,rqjO5Z9Lt_M,Piers Morgan vs Bassem Youssef Round 2 | Two-Hour Special Interview,12000000,6407,https://www.youtube.com/watch?v=rqjO5Z9Lt_M
6,2pMsYSR7g78,PART 2: Andrew Tate Talks Palestine and Israel With Piers Morgan | Latest Interview,10000000,2116,https://www.youtube.com/watch?v=2pMsYSR7g78
7,L63Jt6__aGw,The Kanye 'Ye' West Interview With Piers Morgan,10000000,6002,https://www.youtube.com/watch?v=L63Jt6__aGw
8,9jBgGY2Ww9Q,Piers Morgan vs Mohammed Hijab On Palestine and Israel-Hamas War | The Full Debate,8600000,1342,https://www.youtube.com/watch?v=9jBgGY2Ww9Q
9,2QcZSVu3CCY,Piers Morgan Takes On Andrew Tate AGAIN! | The Full Interview #2,8500000,2765,https://www.youtube.com/watch?v=2QcZSVu3CCY
10,Jk9uJRMvBIA,The FULL Cristiano Ronaldo Interview With Piers Morgan | Parts 1 and 2,8400000,5468,https://www.youtube.com/watch?v=Jk9uJRMvBIA
11,LhlXDI1JSKk,"""I Can Identify As A Black Lesbian!"" Piers Morgan On Gender Identity",8100000,808,https://www.youtube.com/watch?v=LhlXDI1JSKk
12,BTv5feWd9dk,Jordan Peterson’s FULL Interview With Piers Morgan,7500000,3861,https://www.youtube.com/watch?v=BTv5feWd9dk
13,WIR6KbGwGU0,Piers Morgan vs Tristan Tate | The Full Interview,7200000,1998,https://www.youtube.com/watch?v=WIR6KbGwGU0
14,ZfNbxVa3YLo,Piers Morgan vs Ben Shapiro On Israel-Hamas War | The Full Interview,7200000,2808,https://www.youtube.com/watch?v=ZfNbxVa3YLo
15,9jsJYHuGPms,Mohammed Hijab vs Rabbi Shmuley On Palestine and Israel | The Full Debate With Piers Morgan,6600000,4110,https://www.youtube.com/watch?v=9jsJYHuGPms
16,7O-_CVA27ak,Andrew Tate RETURNS To Debate Piers Morgan on Elon Musk And Free Speech,5700000,541,https://www.youtube.com/watch?v=7O-_CVA27ak
17,fRNhkQpp0wU,“Complete FAKE News Bullsh*t!” Piers Morgan vs Andrew Tate On Riots,5500000,3239,https://www.youtube.com/watch?v=fRNhkQpp0wU
18,5hdIR0WOk7I,Priscilla Presley Speaks To Piers Morgan About The Death Of Her Daughter Lisa Marie Presley,5300000,3288,https://www.youtube.com/watch?v=5hdIR0WOk7I
19,cvWPlQLH-bg,"""Did You KILL Anybody?"" Piers Morgan Grills Former Mafia Boss Michael Franzese",5200000,2597,https://www.youtube.com/watch?v=cvWPlQLH-bg
20,mIDLJnKesQM,"""Total Electoral BLOODBATH"" Donald Trump DEFEATS Kamala Harris!",5100000,6177,https://www.youtube.com/watch?v=mIDLJnKesQM
21,A_I7Mr4czmU,"""Going Down For LIFE"" Piers Morgan Discusses The Downfall Of Diddy",5100000,2563,https://www.youtube.com/watch?v=A_I7Mr4czmU
22,GvDAra1VFnE,Israel-Hamas War: Piers Morgan vs Palestinian Ambassador Husam Zomlot Over Gaza Hospital Strike,5100000,1624,https://www.youtube.com/watch?v=GvDAra1VFnE
23,GzogU1RncbU,“I Am NOT A Holocaust Denier” SHOWDOWN! Rabbi Shmuley vs Candace Owens,5000000,3734,https://www.youtube.com/watch?v=GzogU1RncbU
24,I2ljrTAfdxs,Full Cristiano Ronaldo Interview With Piers Morgan Part 1,5000000,2826,https://www.youtube.com/watch?v=I2ljrTAfdxs
25,suow2qxBI2Y,Piers Morgan Interviews Matt Walsh After 'What Is A Woman?' Twitter Censorship,4700000,892,https://www.youtube.com/watch?v=suow2qxBI2Y
26,M1612L2FMHo,Jordan Peterson Gets Emotional Talking About Olivia Wilde's 'Incel' Comparison,4700000,417,https://www.youtube.com/watch?v=M1612L2FMHo
27,2WmV7kaxz6I,“He's a MAFIA Boss!” Diddy Latest Feat DJ Vlad | 'Household Names Will Be Revealed',4400000,1762,https://www.youtube.com/watch?v=2WmV7kaxz6I
28,FrnuOwndcpE,"""It's Embarrassing!"" Piers Morgan Reacts To Transgender Marathon Runner",4400000,819,https://www.youtube.com/watch?v=FrnuOwndcpE
29,Xlrmfaw_BCI,Piers Morgan Eats STEAK In Front Of Vegan Protester,4400000,683,https://www.youtube.com/watch?v=Xlrmfaw_BCI
30,c_rhcGUTs8E,"""Go to HELL - You’re Not Stopping Me!” Jordan Peterson On Trump, Putin & More",4300000,3226,https://www.youtube.com/watch?v=c_rhcGUTs8E
31,2bA6Iif8-cY,Piers Morgan vs HasanAbi On Palestine-Israel Conflict and War | The Full Interview,4300000,1501,https://www.youtube.com/watch?v=2bA6Iif8-cY
32,Hg3pI-FnpPs,Andrew Tate Gives His Take On Meghan Markle's Claims Of UK Racism,4300000,814,https://www.youtube.com/watch?v=Hg3pI-FnpPs
33,YRFKkmsDpuw,"Israel-Hamas War: ""Enough Of The Bigotry Against Palestinians!"" Piers Morgan vs Cenk Uygur",4200000,743,https://www.youtube.com/watch?v=YRFKkmsDpuw
34,e7pgXv_TmWc,“Diddy Has Tapes on EVERYONE!” Candace Owens vs Marc Lamont Hill,4100000,3407,https://www.youtube.com/watch?v=e7pgXv_TmWc
35,-rQBVbmwSbI,"""It's An Awful Feeling"" - Titanic Reporter Breaks Down Talking About Missing Submersible",4100000,699,https://www.youtube.com/watch?v=-rQBVbmwSbI
36,-qVKPyQ8lnc,"""They Are Stealing My Culture!"" Bassem Youssef On Netflix's 'Cleopatra' Casting",4100000,564,https://www.youtube.com/watch?v=-qVKPyQ8lnc
37,505UazMNgLg,Richard Dawkins vs Piers Morgan On Religion and Gender | The Full Interview,4100000,2793,https://www.youtube.com/watch?v=505UazMNgLg
38,TJW9XtSfFxc,"Piers Morgan vs Zlatan Ibrahimovic | The Full, Uncut Interview",4000000,6311,https://www.youtube.com/watch?v=TJW9XtSfFxc
39,2ikiuBdtd2E,"""Threat To Democracy"" Piers Morgan Reacts To Trump Shooting | Ben Shapiro x Rudy Giuliani",3800000,5943,https://www.youtube.com/watch?v=2ikiuBdtd2E
40,DHs7p6o5oBo,The 'Female Andrew Tate' Pearl Davis On Why She Thinks Women Shouldn't Vote,3800000,590,https://www.youtube.com/watch?v=DHs7p6o5oBo
