"Talkshow / Channel","Language","Format Type","Usual Speakers","Core Topic / Engine Utility"
"Open to Debate","EN","Structured Motion","4-5","Policy & Tech / Gold-standard PFI flow & expert verdicts"
"Jubilee (Middle Ground)","EN","Social Panel","4-8","Lifestyle & Ethics / Fast micro-turns & emotional hooks"
"The Oxford Union","EN","Motion Debate","4-6","Geopolitics & Ethics / Formal argument sequencing"
"Piers Morgan Uncensored","EN","Conflict Panel","4-6","Culture & Policy / Host interruption triggers & crosstalk"
"VICE Debates","EN","Group Focus","5-8","Social Issues / Radical voice contrast & diverse archetypes"
"Intelligence Squared (IQ2)","EN","2-vs-2 Motion","4","Geopolitics & Tech / Balanced trade-off extraction"
"Modern-Day Debate","EN","Moderated 1-on-1","2-3","Science & AI Ethics / Strict turn limits & topic bounds"
"Valuetainment / PBD","EN","Business Panel","4-6","Finance & Career / Phase 2 cost/benefit friction"
"Triggernometry","EN","Dual-Host Discussion","3","Culture & Tech / Host trap-questioning & pivots"
"Lex Fridman Podcast (Debates)","EN","Long-form 1v1 / 2v2","2-4","Tech & AI / Deep logic trees & high-value arguments"
