"ABEMA Prime (アベプラ)","JA","Live News Panel","5-8","Lifestyle & Policy / Native Japanese MC moderation & pivots"
"NewsPicks (The UPDATE)","JA","Business Panel","4-6","Tech & Economy / Quantitative trade-offs & data anchoring"
"ReHacQ (リハック)","JA","Informal Debate","2-4","Policy & Career / High retention & Comedian persona"
"PIVOT (Deep Think)","JA","Business Discussion","2-4","Career & Investment / Clean Japanese logic trees"
"Takafumi Horie Channel (HORIE ONE)","JA","Tech & Business Panel","2-4","Innovation & Economy / Fast rebuttal & counter-examples"
"Bungeishunju PLUS (文藝春秋)","JA","Formal Discussion","2-3","Macroeconomics & Policy / Expert anchor data"
"President Online","JA","Business Discussion","2-3","Work & Management / Phase 2 operational cost analysis"
"FNN Prime Online","JA","Public Policy Panel","4-6","Social Issues / Natural multi-party disagreement"
"Niconico News Official (ニコニコ生放送)","JA","Live Motion Debate","4-8","Politics & Society / High crosstalk & real-time commentary"
"WEEKLY OCHIAI (NewsPicks)","JA","Deep Tech & Social","3-5","AI & Future Society / Phase 3 synthesis & impact trends"
